"matrix","time","row","col","value","sd","conf.low","conf.high","dates"
"report_prob",1970-02-20,0,0,0.6378,0,0.6378,0.6378,2022-02-02
"serop",1970-02-20,0,0,0.0624730888767917,0.000648178518502476,0.0612026823249743,0.063743495428609,2022-02-02
"cases",1970-02-20,0,0,418.642091879007,15.0903911755257,389.065468662355,448.218715095658,2022-02-02
"beta",1970-02-21,0,0,0.211794773967033,0.00333775997117384,0.205252884634492,0.218336663299573,2022-02-03
"report_prob",1970-02-21,0,0,0.6378,0,0.6378,0.6378,2022-02-03
"serop",1970-02-21,0,0,0.0638284186593227,0.000643386309839588,0.062567404663891,0.0650894326547544,2022-02-03
"cases",1970-02-21,0,0,412.869637884442,14.8746631797237,383.715833770019,442.023441998864,2022-02-03
"beta",1970-02-22,0,0,0.218923275911364,0.00347346279130551,0.212115413938766,0.225731137883963,2022-02-04
"report_prob",1970-02-22,0,0,0.6378,0,0.6378,0.6378,2022-02-04
"serop",1970-02-22,0,0,0.0651656270298481,0.000640199369292476,0.0639108593231096,0.0664203947365866,2022-02-04
"cases",1970-02-22,0,0,408.2373126945,14.6277629456137,379.567424146707,436.907201242292,2022-02-04
"beta",1970-02-23,0,0,0.226645946288519,0.00368940679619257,0.219414841843664,0.233877050733374,2022-02-05
"report_prob",1970-02-23,0,0,0.6378,0,0.6378,0.6378,2022-02-05
"serop",1970-02-23,0,0,0.0664870552409441,0.000638613379049538,0.0652353960179616,0.0677387144639266,2022-02-05
"cases",1970-02-23,0,0,404.777671561204,14.3544384677442,376.643489146129,432.911853976278,2022-02-05
"beta",1970-02-24,0,0,0.23494344293741,0.00398228891724563,0.227138300083576,0.242748585791245,2022-02-06
"report_prob",1970-02-24,0,0,0.6378,0,0.6378,0.6378,2022-02-06
"serop",1970-02-24,0,0,0.0677951446421734,0.000638586188562328,0.0665435387115665,0.0690467505727803,2022-02-06
"cases",1970-02-24,0,0,402.517607687869,14.0596321246756,374.961235087622,430.073980288115,2022-02-06
"beta",1970-02-25,0,0,0.243790387209394,0.00434493412004702,0.235274472818902,0.252306301599885,2022-02-07
"report_prob",1970-02-25,0,0,0.6378,0,0.6378,0.6378,2022-02-07
"serop",1970-02-25,0,0,0.0690924285124727,0.000640040837753716,0.0678379715218406,0.0703468855031049,2022-02-07
"cases",1970-02-25,0,0,401.479110510649,13.7485315888307,374.532483756229,428.425737265068,2022-02-07
"beta",1970-02-26,0,0,0.253154424695036,0.00476789055377359,0.243809530927411,0.262499318462661,2022-02-08
"report_prob",1970-02-26,0,0,0.6378,0,0.6378,0.6378,2022-02-08
"serop",1970-02-26,0,0,0.0703815257208743,0.000642869534654878,0.0691215245861927,0.0716415268555559,2022-02-08
"cases",1970-02-26,0,0,401.679992344734,13.4266618368635,375.364218711883,427.995765977584,2022-02-08
"beta",1970-02-27,0,0,0.262995375608968,0.0052406541476673,0.25272388222411,0.273266868993827,2022-02-09
"report_prob",1970-02-27,0,0,0.6378,0,0.6378,0.6378,2022-02-09
"serop",1970-02-27,0,0,0.0716651358672101,0.000646938290889298,0.0703971601168472,0.0729331116175731,2022-02-09
"cases",1970-02-27,0,0,403.134533893687,13.1000215811187,377.458963397997,428.810104389377,2022-02-09
"beta",1970-02-28,0,0,0.273264518296504,0.00575232974948445,0.261990159160316,0.284538877432691,2022-02-10
"report_prob",1970-02-28,0,0,0.6378,0,0.6378,0.6378,2022-02-10
"serop",1970-02-28,0,0,0.0729460355472456,0.000652091883967446,0.0716679589400585,0.0742241121544327,2022-02-10
"cases",1970-02-28,0,0,405.854003359683,12.775261858049,380.814950224839,430.893056494528,2022-02-10
"beta",1970-03-01,0,0,0.28390405286828,0.00629186204885404,0.271572229856832,0.296235875879729,2022-02-11
"report_prob",1970-03-01,0,0,0.6378,0,0.6378,0.6378,2022-02-11
"serop",1970-03-01,0,0,0.0742270753779518,0.00065815883507906,0.07293710776509,0.0755170429908136,2022-02-11
"cases",1970-03-01,0,0,409.847010401123,12.4598959670155,385.426063054657,434.267957747589,2022-02-11
"beta",1970-03-02,0,0,0.29484679331163,0.00684804304778085,0.2814248755734,0.30826871104986,2022-02-12
"report_prob",1970-03-02,0,0,0.6378,0,0.6378,0.6378,2022-02-12
"serop",1970-03-02,0,0,0.0755111774076858,0.000664956154121179,0.07420788729431,0.0768144675210616,2022-02-12
"cases",1970-03-02,0,0,415.119664025201,12.1625171905495,391.281568370375,438.957759680027,2022-02-12
"beta",1970-03-03,0,0,0.306016134968088,0.00740945431369019,0.29149387136816,0.320538398568016,2022-02-13
"report_prob",1970-03-03,0,0,0.6378,0,0.6378,0.6378,2022-02-13
"serop",1970-03-03,0,0,0.0768013325228132,0.000672293691921885,0.0754836610996128,0.0781190039460135,2022-02-13
"cases",1970-03-03,0,0,421.675512009326,11.8929827988825,398.365694054761,444.98532996389,2022-02-13
"beta",1970-03-04,0,0,0.317326339503228,0.00796443556385373,0.301716332640885,0.332936346365572,2022-02-14
"report_prob",1970-03-04,0,0,0.6378,0,0.6378,0.6378,2022-02-14
"serop",1970-03-04,0,0,0.0781005974473221,0.000679978033982823,0.0767678649904374,0.0794333299042068,2022-02-14
"cases",1970-03-04,0,0,429.515248246514,11.6625005018643,406.657167293179,452.373329199848,2022-02-14
"beta",1970-03-05,0,0,0.328683171101082,0.00850112287579456,0.312021276436376,0.345345065765789,2022-02-15
"report_prob",1970-03-05,0,0,0.6378,0,0.6378,0.6378,2022-02-15
"serop",1970-03-05,0,0,0.0794120909164394,0.000687815955298008,0.0780639964160633,0.0807601854168155,2022-02-15
"cases",1970-03-05,0,0,438.636183400239,11.4835316062157,416.128875036729,461.143491763749,2022-02-15
"beta",1970-03-06,0,0,0.339984905514565,0.00900757168145208,0.322330389430756,0.357639421598373,2022-02-16
"report_prob",1970-03-06,0,0,0.6378,0,0.6378,0.6378,2022-02-16
"serop",1970-03-06,0,0,0.0807389885910667,0.000695617522449464,0.0793756033000507,0.0821023738820826,2022-02-16
"cases",1970-03-06,0,0,449.031483521572,11.3694152967792,426.747839014606,471.315128028538,2022-02-16
"beta",1970-03-07,0,0,0.351123718033337,0.00947196457774684,0.332559008598114,0.36968842746856,2022-02-17
"report_prob",1970-03-07,0,0,0.6378,0,0.6378,0.6378,2022-02-17
"serop",1970-03-07,0,0,0.0820845162696152,0.000703198973494293,0.0807062716076008,0.0834627609316295,2022-02-17
"cases",1970-03-07,0,0,460.689191015219,11.3336392337545,438.47566630329,482.902715727148,2022-02-17
"beta",1970-03-08,0,0,0.361987437983763,0.00988289572581149,0.342617318298208,0.381357557669318,2022-02-18
"report_prob",1970-03-08,0,0,0.6378,0,0.6378,0.6378,2022-02-18
"serop",1970-03-08,0,0,0.0834519409508211,0.000710385528438047,0.0820596108999441,0.0848442710016981,2022-02-18
"cases",1970-03-08,0,0,473.591052733326,11.3887508789593,451.269511181667,495.912594284985,2022-02-18
"beta",1970-03-09,0,0,0.372461637006428,0.0102297186689311,0.352411756843346,0.39251151716951,2022-02-19
"report_prob",1970-03-09,0,0,0.6378,0,0.6378,0.6378,2022-02-19
"serop",1970-03-09,0,0,0.0848445593092654,0.000717014285644954,0.0834392371330006,0.0862498814855302,2022-02-19
"cases",1970-03-09,0,0,487.711191124412,11.5450204637667,465.083366814652,510.339015434173,2022-02-19
"beta",1970-03-10,0,0,0.382431997346902,0.0105029411756876,0.361846610910812,0.403017383782993,2022-02-20
"report_prob",1970-03-10,0,0,0.6378,0,0.6378,0.6378,2022-02-20
"serop",1970-03-10,0,0,0.0862656831689496,0.000722937345152637,0.0848487520093715,0.0876826143285278,2022-02-20
"cases",1970-03-10,0,0,503.014666189649,11.8090909498807,479.869273237725,526.160059141573,2022-02-20
"beta",1970-03-11,0,0,0.39178688627466,0.0106946487176963,0.370825759960668,0.412748012588652,2022-02-21
"report_prob",1970-03-11,0,0,0.6378,0,0.6378,0.6378,2022-02-21
"serop",1970-03-11,0,0,0.0877186216039224,0.000728025270534027,0.0862917182938407,0.0891455249140041,2022-02-21
"cases",1970-03-11,0,0,519.455988175341,12.1829111243806,495.577921144702,543.334055205979,2022-02-21
"beta",1970-03-12,0,0,0.400420045168871,0.0107989374521869,0.379254516691283,0.421585573646458,2022-02-22
"report_prob",1970-03-12,0,0,0.6378,0,0.6378,0.6378,2022-02-22
"serop",1970-03-12,0,0,0.0892066593629765,0.000732170957560226,0.0877716306556322,0.0906416880703207,2022-02-22
"cases",1970-03-12,0,0,536.977652851641,12.6631889436108,512.158258592737,561.797047110544,2022-02-22
"beta",1970-03-13,0,0,0.40823328840381,0.0108123382919268,0.38704149476297,0.42942508204465,2022-02-23
"report_prob",1970-03-13,0,0,0.5957,0,0.5957,0.5957,2022-02-23
"serop",1970-03-13,0,0,0.0907330314115634,0.000735293920008801,0.0892918818102949,0.092174181012832,2022-02-23
"cases",1970-03-13,0,0,518.840673308419,12.367396576282,494.601021436383,543.080325180456,2022-02-23
"beta",1970-03-14,0,0,0.415139099354855,0.0107342159135924,0.394100422761937,0.436177775947773,2022-02-24
"report_prob",1970-03-14,0,0,0.5957,0,0.5957,0.5957,2022-02-24
"serop",1970-03-14,0,0,0.0923008935108146,0.000737344929164339,0.0908557240054692,0.0937460630161599,2022-02-24
"cases",1970-03-14,0,0,537.011651120329,12.986712885484,511.558161587218,562.46514065344,2022-02-24
"beta",1970-03-15,0,0,0.421063009681316,0.0105671301559647,0.400351815155678,0.441774204206954,2022-02-25
"report_prob",1970-03-15,0,0,0.5957,0,0.5957,0.5957,2022-02-25
"serop",1970-03-15,0,0,0.0939132889115916,0.000738310852072896,0.0924662262321336,0.0953603515910496,2022-02-25
"cases",1970-03-15,0,0,555.951514805803,13.6694210933531,529.159941773319,582.743087838287,2022-02-25
"beta",1970-03-16,0,0,0.425945654065205,0.0103171512971678,0.405724409099705,0.446166899030705,2022-02-26
"report_prob",1970-03-16,0,0,0.5957,0,0.5957,0.5957,2022-02-26
"serop",1970-03-16,0,0,0.0955731114290437,0.000738219423108188,0.0941262279470638,0.0970199949110237,2022-02-26
"cases",1970-03-16,0,0,575.55125393931,14.3969651361938,547.333720785691,603.768787092929,2022-02-26
"beta",1970-03-17,0,0,0.429744405729177,0.00999412303317115,0.410156284527099,0.449332526931254,2022-02-27
"report_prob",1970-03-17,0,0,0.5957,0,0.5957,0.5957,2022-02-27
"serop",1970-03-17,0,0,0.09728306537546,0.000737143554541427,0.095838290557123,0.098727840193797,2022-02-27
"cases",1970-03-17,0,0,595.687011394615,15.1489038448986,565.995705453354,625.378317335877,2022-02-27
"beta",1970-03-18,0,0,0.432434517620616,0.00961186323221375,0.413595611861153,0.45127342338008,2022-02-28
"report_prob",1970-03-18,0,0,0.5957,0,0.5957,0.5957,2022-02-28
"serop",1970-03-18,0,0,0.0990456230581701,0.00073520464922424,0.0976046484244242,0.100486597691916,2022-02-28
"cases",1970-03-18,0,0,616.220596299602,15.9036668914507,585.049981970236,647.391210628967,2022-02-28
"beta",1970-03-19,0,0,0.434009718837858,0.00918827469673189,0.416001031352202,0.452018406323513,2022-03-01
"report_prob",1970-03-19,0,0,0.5957,0,0.5957,0.5957,2022-03-01
"serop",1970-03-19,0,0,0.100862980783362,0.000732574234270648,0.0994271616681894,0.102298799898534,2022-03-01
"cases",1970-03-19,0,0,637.000566790178,16.6392498346507,604.388236384498,669.612897195857,2022-03-01
"beta",1970-03-20,0,0,0.434482243916106,0.00874529360006976,0.417341783425741,0.451622704406472,2022-03-02
"report_prob",1970-03-20,0,0,0.5957,0,0.5957,0.5957,2022-03-02
"serop",1970-03-20,0,0,0.10273701453137,0.000729473112164509,0.101307273503837,0.104166755558903,2022-03-02
"cases",1970-03-20,0,0,657.86390905485,17.333879753735,623.890129025181,691.837689084518,2022-03-02
"beta",1970-03-21,0,0,0.433882301904709,0.00830851788888461,0.417597906077589,0.45016669773183,2022-03-03
"report_prob",1970-03-21,0,0,0.5957,0,0.5957,0.5957,2022-03-03
"serop",1970-03-21,0,0,0.104669236667351,0.000726167163979609,0.103245975179196,0.106092498155507,2022-03-03
"cases",1970-03-21,0,0,678.638308131739,17.9666807599485,643.424260920511,713.852355342966,2022-03-03
"beta",1970-03-22,0,0,0.432257020574826,0.00790623311961965,0.416761088406994,0.447752952742659,2022-03-04
"report_prob",1970-03-22,0,0,0.5957,0,0.5957,0.5957,2022-03-04
"serop",1970-03-22,0,0,0.106660755205332,0.000722958994256546,0.10524378161429,0.108077728796374,2022-03-04
"cases",1970-03-22,0,0,699.14497141293,18.5183553774566,662.849661820202,735.440281005659,2022-03-04
"beta",1970-03-23,0,0,0.429668926536946,0.00756744997781046,0.414836997125629,0.444500855948263,2022-03-05
"report_prob",1970-03-23,0,0,0.5957,0,0.5957,0.5957,2022-03-05
"serop",1970-03-23,0,0,0.108712237235915,0.000720174845690977,0.107300720475789,0.110123753996041,2022-03-05
"cases",1970-03-23,0,0,719.201930347756,18.971882045058,682.0177248205,756.386135875011,2022-03-05
"beta",1970-03-24,0,0,0.426194042779162,0.0073186647506668,0.411849723452932,0.440538362105391,2022-03-06
"report_prob",1970-03-24,0,0,0.5957,0,0.5957,0.5957,2022-03-06
"serop",1970-03-24,0,0,0.110823878143414,0.000718146693513771,0.10941633648851,0.112231419798317,2022-03-06
"cases",1970-03-24,0,0,738.627712361193,19.3132156587098,700.774505244467,776.480919477919,2022-03-06
"beta",1970-03-25,0,0,0.421919699893449,0.00717960122038425,0.407847940078136,0.435991459708761,2022-03-07
"report_prob",1970-03-25,0,0,0.5957,0,0.5957,0.5957,2022-03-07
"serop",1970-03-25,0,0,0.112995378166021,0.000717190170713824,0.111589711261355,0.114401045070686,2022-03-07
"cases",1970-03-25,0,0,757.245246570397,19.5319691778546,718.963290434656,795.527202706139,2022-03-07
"beta",1970-03-26,0,0,0.416942165344491,0.00715916305902942,0.402910463589344,0.430973867099638,2022-03-08
"report_prob",1970-03-26,0,0,0.5957,0,0.5957,0.5957,2022-03-08
"serop",1970-03-26,0,0,0.115225927688034,0.000717579904881085,0.113819496918437,0.11663235845763,2022-03-08
"cases",1970-03-26,0,0,774.885846292681,19.6220501458717,736.427334703934,813.344357881428,2022-03-08
"beta",1970-03-27,0,0,0.411364196459856,0.00725347142212215,0.397147653709606,0.425580739210106,2022-03-09
"report_prob",1970-03-27,0,0,0.5957,0,0.5957,0.5957,2022-03-09
"serop",1970-03-27,0,0,0.117514202398449,0.000719524774948067,0.116103959753567,0.118924445043332,2022-03-09
"cases",1970-03-27,0,0,791.393100778444,19.5822257058389,753.012643657865,829.773557899023,2022-03-09
"beta",1970-03-28,0,0,0.405292617848325,0.00744717061771871,0.390696431650871,0.419888804045778,2022-03-10
"report_prob",1970-03-28,0,0,0.5957,0,0.5957,0.5957,2022-03-10
"serop",1970-03-28,0,0,0.119858369115479,0.000723146231283201,0.118441028546609,0.12127570968435,2022-03-10
"cases",1970-03-28,0,0,806.626509345709,19.416591566886,768.570689172088,844.68232951933,2022-03-10
"beta",1970-03-29,0,0,0.39883601361636,0.00771737787063535,0.383710230934828,0.413961796297892,2022-03-11
"report_prob",1970-03-29,0,0,0.5957,0,0.5957,0.5957,2022-03-11
"serop",1970-03-29,0,0,0.122256102679105,0.000728462868289901,0.120828341693182,0.123683863665028,2022-03-11
"cases",1970-03-29,0,0,820.464703312297,19.1349215667095,782.960946194547,857.968460430046,2022-03-11
"beta",1970-03-30,0,0,0.392102610311816,0.00803836685518638,0.376347700781131,0.407857519842502,2022-03-12
"report_prob",1970-03-30,0,0,0.5957,0,0.5957,0.5957,2022-03-12
"serop",1970-03-30,0,0,0.124704613877088,0.000735383738561718,0.123263288234691,0.126145939519486,2022-03-12
"cases",1970-03-30,0,0,832.808123852319,18.7528708394517,796.053172400263,869.563075304376,2022-03-12
"beta",1970-03-31,0,0,0.385198409415361,0.00838530788462295,0.368763507962221,0.401633310868502,2022-03-13
"report_prob",1970-03-31,0,0,0.5957,0,0.5957,0.5957,2022-03-13
"serop",1970-03-31,0,0,0.127200687921628,0.000743711555160657,0.125743040058627,0.128658335784629,2022-03-13
"cases",1970-03-31,0,0,843.581055156503,18.2919916187428,807.729410378259,879.432699934748,2022-03-13
"beta",1970-04-01,0,0,0.378225609882353,0.00873645587078221,0.361102471023097,0.39534874874161,2022-03-14
"report_prob",1970-04-01,0,0,0.5957,0,0.5957,0.5957,2022-03-14
"serop",1970-04-01,0,0,0.129740732563188,0.000753155305593067,0.12826457528946,0.131216889836915,2022-03-14
"cases",1970-04-01,0,0,852.732949287709,17.7794903866133,817.885788466471,887.580110108947,2022-03-14
"beta",1970-04-02,0,0,0.37128134305903,0.00907400999604062,0.353496610271434,0.389066075846626,2022-03-15
"report_prob",1970-04-02,0,0,0.5957,0,0.5957,0.5957,2022-03-15
"serop",1970-04-02,0,0,0.13232083454311,0.000763350369466723,0.13082469531137,0.13381697377485,2022-03-15
"cases",1970-04-02,0,0,860.239018698534,17.247605442116,826.43433321243,894.043704184638,2022-03-15
"beta",1970-04-03,0,0,0.364456725390974,0.00938413913911263,0.3460641506524,0.382849300129547,2022-03-16
"report_prob",1970-04-03,0,0,0.3949,0,0.3949,0.3949,2022-03-16
"serop",1970-04-03,0,0,0.134936822771707,0.000773883362845819,0.133420039252295,0.13645360629112,2022-03-16
"cases",1970-04-03,0,0,574.152986300996,11.0922177463081,552.412639009556,595.893333592436,2022-03-16
"beta",1970-04-04,0,0,0.357836219564901,0.00965659471527067,0.338909641709671,0.376762797420132,2022-03-17
"report_prob",1970-04-04,0,0,0.3949,0,0.3949,0.3949,2022-03-17
"serop",1970-04-04,0,0,0.137584336392074,0.000784318752957997,0.136047099883877,0.139121572900271,2022-03-17
"cases",1970-04-04,0,0,576.964954515503,10.7869414319517,555.822937805534,598.106971225471,2022-03-17
"beta",1970-04-05,0,0,0.351497282627722,0.00988417438720268,0.332124656811891,0.370869908443552,2022-03-18
"report_prob",1970-04-05,0,0,0.3949,0,0.3949,0.3949,2022-03-18
"serop",1970-04-05,0,0,0.140258895762847,0.000794224679168004,0.138702243996045,0.141815547529649,2022-03-18
"cases",1970-04-05,0,0,578.736054546173,10.5424185144549,558.073293947893,599.398815144453,2022-03-18
"beta",1970-04-06,0,0,0.345510270463057,0.0100621731738417,0.325788773436122,0.365231767489991,2022-03-19
"report_prob",1970-04-06,0,0,0.3949,0,0.3949,0.3949,2022-03-19
"serop",1970-04-06,0,0,0.142955974368625,0.000803196127115382,0.141381738886957,0.144530209850294,2022-03-19
"cases",1970-04-06,0,0,579.513187323346,10.3800153015434,559.168731173346,599.857643473346,2022-03-19
"beta",1970-04-07,0,0,0.339938561765166,0.0101878826878226,0.319970678618315,0.359906444912018,2022-03-20
"report_prob",1970-04-07,0,0,0.3949,0,0.3949,0.3949,2022-03-20
"serop",1970-04-07,0,0,0.145671069740144,0.000810874377003063,0.144081785165232,0.147260354315056,2022-03-20
"cases",1970-04-07,0,0,579.356085053843,10.3152966849405,559.138475061514,599.573695046172,2022-03-20
"beta",1970-04-08,0,0,0.334838861112304,0.0102601611172076,0.314729314846999,0.354948407377609,2022-03-21
"report_prob",1970-04-08,0,0,0.3949,0,0.3949,0.3949,2022-03-21
"serop",1970-04-08,0,0,0.148399771626107,0.000816962309031463,0.146798554923679,0.150000988328535,2022-03-21
"cases",1970-04-08,0,0,578.33565872225,10.3558547820076,558.038556320388,598.632761124112,2022-03-21
"beta",1970-04-09,0,0,0.330261639533724,0.0102790801093085,0.310115012725277,0.350408266342171,2022-03-22
"report_prob",1970-04-09,0,0,0.3949,0,0.3949,0.3949,2022-03-22
"serop",1970-04-09,0,0,0.151137825888434,0.000821235621936283,0.149528233646618,0.152747418130251,2022-03-22
"cases",1970-04-09,0,0,576.532255440193,10.5003630651996,555.951922007807,597.112588872579,2022-03-22
"beta",1970-04-10,0,0,0.32625167162486,0.0102456492072411,0.306170568180436,0.346332775069284,2022-03-23
"report_prob",1970-04-10,0,0,0.3949,0,0.3949,0.3949,2022-03-23
"serop",1970-04-10,0,0,0.153881192872846,0.000823550301339727,0.152267063942763,0.155495321802929,2022-03-23
"cases",1970-04-10,0,0,574.033897371334,10.7392231520223,552.985406771432,595.082387971236,2022-03-23
"beta",1970-04-11,0,0,0.322848630297226,0.0101616181876156,0.302932224624852,0.3427650359696,2022-03-24
"report_prob",1970-04-11,0,0,0.3949,0,0.3949,0.3949,2022-03-24
"serop",1970-04-11,0,0,0.156626099316216,0.000823846796805558,0.155011389265698,0.158240809366734,2022-03-24
"cases",1970-04-11,0,0,570.934564918433,11.0565449823373,549.264134959605,592.604994877261,2022-03-24
"beta",1970-04-12,0,0,0.320087703168968,0.0100293599107112,0.300430518955984,0.339744887381952,2022-03-25
"report_prob",1970-04-12,0,0,0.3949,0,0.3949,0.3949,2022-03-25
"serop",1970-04-12,0,0,0.15936908317067,0.000822151373410435,0.157757696088945,0.160980470252394,2022-03-25
"cases",1970-04-12,0,0,567.332575695219,11.4327389259911,544.924819155627,589.74033223481,2022-03-25
"beta",1970-04-13,0,0,0.318000197971441,0.00985184013860864,0.298690946118322,0.33730944982456,2022-03-26
"report_prob",1970-04-13,0,0,0.3949,0,0.3949,0.3949,2022-03-26
"serop",1970-04-13,0,0,0.162107031033591,0.00081857503142993,0.160502653453345,0.163711408613837,2022-03-26
"cases",1970-04-13,0,0,563.32909855565,11.8469669180646,540.109470070206,586.548727041094,2022-03-26
"beta",1970-04-14,0,0,0.316614107800088,0.00963268599414938,0.297734390177172,0.335493825423004,2022-03-27
"report_prob",1970-04-14,0,0,0.3949,0,0.3949,0.3949,2022-03-27
"serop",1970-04-14,0,0,0.16483720815736,0.000813310262734589,0.163243149334143,0.166431266980576,2022-03-27
"cases",1970-04-14,0,0,559.026829532709,12.2789963994528,534.960438823485,583.093220241934,2022-03-27
"beta",1970-04-15,0,0,0.315954610292349,0.0093763713276463,0.297577260184488,0.33433196040021,2022-03-28
"report_prob",1970-04-15,0,0,0.3949,0,0.3949,0.3949,2022-03-28
"serop",1970-04-15,0,0,0.167557281261267,0.000806625753017036,0.165976323836351,0.169138238686183,2022-03-28
"cases",1970-04-15,0,0,554.528844693429,12.7103494614995,529.617017517972,579.440671868886,2022-03-28
