"day","date","daily_serop","daily_serop_increment","daily_serop_q025","daily_serop_q975","cases","hosp","death","cum_cases","cum_case_per_capita","daily_case_increment","cum_case_per_capita_q025","cum_case_per_capita_q975","underreporting_factor","daily_underrep_q025","daily_underrep_q975","est_inci_case","est_inci_serop"
141,2022-02-18,0.0767439331065967,0.00167066026295619,0.0618610423510699,0.0916268238621235,238,2,0,19557,0.0383057487023798,0.000466163940848106,0.0342164801425512,0.0423950172622084,2.00345733228885,-0.373226447217757,4.38014111179545,476,852
142,2022-02-19,0.0784594594967514,0.00171552639015467,0.0635765687412246,0.0933423502522781,191,0,0,19748,0.0386798550582705,0.000374106355890705,0.0345905864984419,0.0427691236180991,2.02843209672202,-0.348251682784585,4.40511587622862,387,875
143,2022-02-20,0.08022066080215,0.00176120130539863,0.0653377700466232,0.0951035515576768,268,3,2,20016,0.0392047791597297,0.000524924101459212,0.0351155105999011,0.0432940477195583,2.0461959618574,-0.330487817649205,4.422879741364,548,899
144,2022-02-21,0.0820283458108382,0.00180768500868822,0.0671454550553114,0.096911236566365,181,3,0,20197,0.0395592987954167,0.000354519635687001,0.0354700302355881,0.0436485673552453,2.07355408990065,-0.303129689605951,4.45023786940725,375,922
145,2022-02-22,0.0838833233108613,0.00185497750002304,0.0690004325553345,0.098766214066388,291,3,1,20488,0.0401292723533444,0.000569973557927726,0.0360400037935158,0.0442185409131731,2.0903275437505,-0.286356235756104,4.4670113232571,608,947
146,2022-02-23,0.0857864020902648,0.00190307877940349,0.070903511334738,0.100669292845792,262,3,3,20750,0.0406424444226814,0.000513172069336994,0.0365531758628528,0.0447317129825101,2.11075891986432,-0.265924859642281,4.48744269937092,553,971
147,2022-02-24,0.0877383909370941,0.0019519888468293,0.0728555001815673,0.102621281692621,343,3,2,21093,0.0413142689256684,0.000671824502986973,0.0372250003658398,0.045403537485497,2.12368252467327,-0.253001254833328,4.50036630417988,728,996
148,2022-02-25,0.0897400523916529,0.00200166145455888,0.0748571616361262,0.10462294314718,309,1,1,21402,0.0419194985799628,0.000605229654294388,0.0378302300201342,0.0460087671397914,2.14077113113533,-0.235912648371269,4.51745491064194,661,1021
149,2022-02-26,0.0917919640032779,0.00205191161162493,0.0769090732477511,0.106674854758805,233,1,0,21635,0.042375869160709,0.000456370580746254,0.0382866006008804,0.0464651377205377,2.16613761136462,-0.210546168141985,4.54282139087122,504,1047
150,2022-02-27,0.0938946570735636,0.00210269307028578,0.0790117663180369,0.10877754782909,272,2,2,21907,0.0429086279502497,0.000532758789540691,0.0388193593904211,0.0469978965100784,2.18824654991135,-0.188437229595254,4.56493032941795,595,1073
